Algorithm,TestType,ArraySize,Duration_ms
Radix LSD Bucket Sort,Already Sorted,15000,0.9041
Radix LSD Bucket Sort,Reverse Sorted,15000,0.9572
Radix LSD Bucket Sort,Mixed,20000,2.824
Radix LSD Bucket Sort,All Negative,20000,2.7964
Radix LSD Bucket Sort,All Positive,20000,2.7392
Radix LSD Bucket Sort,Already Sorted,20000,1.7533
Radix LSD Bucket Sort,Reverse Sorted,20000,1.1653
Radix LSD Bucket Sort,Mixed,30000,4.7742
Radix LSD Bucket Sort,All Negative,30000,4.8506
Radix LSD Bucket Sort,All Positive,30000,4.6342
Radix LSD Bucket Sort,Already Sorted,30000,1.9715
Radix LSD Bucket Sort,Reverse Sorted,30000,2.0175
Radix LSD Bucket Sort,Mixed,40000,6.8091
Radix LSD Bucket Sort,All Negative,40000,5.9909
Radix LSD Bucket Sort,All Positive,40000,6.1417
Radix LSD Bucket Sort,Already Sorted,40000,2.5304
Radix LSD Bucket Sort,Reverse Sorted,40000,2.4518
Radix LSD Bucket Sort,Mixed,200000,36.1
Radix LSD Bucket Sort,All Negative,200000,33.803
Radix LSD Bucket Sort,All Positive,200000,36.1418
Radix LSD Bucket Sort,Already Sorted,200000,15.3584
Radix LSD Bucket Sort,Reverse Sorted,200000,15.6593
Radix LSD Bucket Sort,Mixed,500000,88.4489
Radix LSD Bucket Sort,All Negative,500000,87.8705
Radix LSD Bucket Sort,All Positive,500000,87.9506
Radix LSD Bucket Sort,Already Sorted,500000,38.8655
Radix LSD Bucket Sort,Reverse Sorted,500000,39.3075
Radix LSD Bucket Sort,Mixed,1000000,182.757
Radix LSD Bucket Sort,All Negative,1000000,175.553
Radix LSD Bucket Sort,All Positive,1000000,178.029
Radix LSD Bucket Sort,Already Sorted,1000000,77.6807
Radix LSD Bucket Sort,Reverse Sorted,1000000,77.8398
Quicksort,Mixed,10,0.0324
Quicksort,All Negative,10,0.0055
Quicksort,All Positive,10,0.0055
Quicksort,Already Sorted,10,0.0008
Quicksort,Reverse Sorted,10,0.0053
Quicksort,Mixed,50,0.0409
Quicksort,All Negative,50,0.0397
Quicksort,All Positive,50,0.0412
Quicksort,Already Sorted,50,0.0026
Quicksort,Reverse Sorted,50,0.0024
Quicksort,Mixed,100,0.1453
Quicksort,All Negative,100,0.0921
Quicksort,All Positive,100,0.0975
Quicksort,Already Sorted,100,0.0028
Quicksort,Reverse Sorted,100,0.0018
Quicksort,Mixed,300,0.3503
Quicksort,All Negative,300,0.6427
Quicksort,All Positive,300,0.378
Quicksort,Already Sorted,300,0.0154
Quicksort,Reverse Sorted,300,0.0052
Quicksort,Mixed,750,1.3184
Quicksort,All Negative,750,1.1236
Quicksort,All Positive,750,1.1343
Quicksort,Already Sorted,750,0.0105
Quicksort,Reverse Sorted,750,0.0106
Quicksort,Mixed,1000,1.9696
Quicksort,All Negative,1000,1.5492
Quicksort,All Positive,1000,1.4654
Quicksort,Already Sorted,1000,0.0138
Quicksort,Reverse Sorted,1000,0.0078
Quicksort,Mixed,3000,5.6031
